id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;31-12-02 00:00:00;2.588,39018817
NE;Nordeste;31-12-02 00:00:00;6.100,10755376
S;Sul;31-12-02 00:00:00;6.650,01133095
SE;Sudeste/Centro-Oeste;31-12-02 00:00:00;25.636,16088679
N;Norte;31-01-03 00:00:00;2.611,26397849
NE;Nordeste;31-01-03 00:00:00;6.152,36784946
S;Sul;31-01-03 00:00:00;7.029,96420766
SE;Sudeste/Centro-Oeste;31-01-03 00:00:00;25.693,74368213
N;Norte;28-02-03 00:00:00;2.682,50654762
NE;Nordeste;28-02-03 00:00:00;5.958,59677083
S;Sul;28-02-03 00:00:00;7.360,90284176
SE;Sudeste/Centro-Oeste;28-02-03 00:00:00;27.507,62498562
N;Norte;31-03-03 00:00:00;2.712,74206989
NE;Nordeste;31-03-03 00:00:00;5.833,33829301
S;Sul;31-03-03 00:00:00;7.080,42807780
SE;Sudeste/Centro-Oeste;31-03-03 00:00:00;26.389,86064531
N;Norte;30-04-03 00:00:00;2.774,44716667
NE;Nordeste;30-04-03 00:00:00;5.987,99348611
S;Sul;30-04-03 00:00:00;6.804,04554153
SE;Sudeste/Centro-Oeste;30-04-03 00:00:00;26.235,74610292
N;Norte;31-05-03 00:00:00;2.846,96680108
NE;Nordeste;31-05-03 00:00:00;5.919,62044355
S;Sul;31-05-03 00:00:00;6.597,38999043
SE;Sudeste/Centro-Oeste;31-05-03 00:00:00;25.354,74973135
N;Norte;30-06-03 00:00:00;2.862,79250000
NE;Nordeste;30-06-03 00:00:00;5.734,50225972
S;Sul;30-06-03 00:00:00;6.572,19553016
SE;Sudeste/Centro-Oeste;30-06-03 00:00:00;25.326,08679207
N;Norte;31-07-03 00:00:00;2.745,87197581
NE;Nordeste;31-07-03 00:00:00;5.783,52776882
S;Sul;31-07-03 00:00:00;6.656,89513437
SE;Sudeste/Centro-Oeste;31-07-03 00:00:00;25.308,79012101
N;Norte;31-08-03 00:00:00;2.610,08233871
NE;Nordeste;31-08-03 00:00:00;5.922,72654570
S;Sul;31-08-03 00:00:00;6.566,81908592
SE;Sudeste/Centro-Oeste;31-08-03 00:00:00;25.465,21360225
N;Norte;30-09-03 00:00:00;2.666,06723611
NE;Nordeste;30-09-03 00:00:00;6.153,35251389
S;Sul;30-09-03 00:00:00;6.773,09297259
SE;Sudeste/Centro-Oeste;30-09-03 00:00:00;26.242,62583297
N;Norte;31-10-03 00:00:00;2.683,47912634
NE;Nordeste;31-10-03 00:00:00;6.325,03022849
S;Sul;31-10-03 00:00:00;6.876,26409955
SE;Sudeste/Centro-Oeste;31-10-03 00:00:00;26.829,76115583
N;Norte;30-11-03 00:00:00;2.872,80090278
NE;Nordeste;30-11-03 00:00:00;6.312,73034722
S;Sul;30-11-03 00:00:00;6.945,77158373
SE;Sudeste/Centro-Oeste;30-11-03 00:00:00;26.804,53481211
N;Norte;31-12-03 00:00:00;2.829,30221774
NE;Nordeste;31-12-03 00:00:00;6.388,41694892
S;Sul;31-12-03 00:00:00;6.831,29106176
SE;Sudeste/Centro-Oeste;31-12-03 00:00:00;26.662,93697588
N;Norte;31-01-04 00:00:00;2.866,96801075
NE;Nordeste;31-01-04 00:00:00;5.975,13640860
S;Sul;31-01-04 00:00:00;7.205,91853547
SE;Sudeste/Centro-Oeste;31-01-04 00:00:00;26.275,93167958
N;Norte;29-02-04 00:00:00;2.846,25704023
NE;Nordeste;29-02-04 00:00:00;5.939,70156609
S;Sul;29-02-04 00:00:00;7.395,32780161
SE;Sudeste/Centro-Oeste;29-02-04 00:00:00;26.801,95109207
N;Norte;31-03-04 00:00:00;2.922,58400538
NE;Nordeste;31-03-04 00:00:00;6.199,61946237
S;Sul;31-03-04 00:00:00;7.639,80193573
SE;Sudeste/Centro-Oeste;31-03-04 00:00:00;27.520,84330676
N;Norte;30-04-04 00:00:00;2.924,74069444
NE;Nordeste;30-04-04 00:00:00;6.209,76804167
S;Sul;30-04-04 00:00:00;7.421,00154118
SE;Sudeste/Centro-Oeste;30-04-04 00:00:00;27.323,33718104
N;Norte;31-05-04 00:00:00;2.988,82715054
NE;Nordeste;31-05-04 00:00:00;6.168,84356183
S;Sul;31-05-04 00:00:00;6.961,25365605
SE;Sudeste/Centro-Oeste;31-05-04 00:00:00;26.606,29612890
N;Norte;30-06-04 00:00:00;2.997,59972222
NE;Nordeste;30-06-04 00:00:00;5.999,99530556
S;Sul;30-06-04 00:00:00;7.053,37686169
SE;Sudeste/Centro-Oeste;30-06-04 00:00:00;26.579,44844942
N;Norte;31-07-04 00:00:00;2.991,48131720
NE;Nordeste;31-07-04 00:00:00;6.037,20327957
S;Sul;31-07-04 00:00:00;7.071,69599470
SE;Sudeste/Centro-Oeste;31-07-04 00:00:00;26.657,82241229
N;Norte;31-08-04 00:00:00;3.014,82056452
NE;Nordeste;31-08-04 00:00:00;6.221,52272849
S;Sul;31-08-04 00:00:00;7.112,18946233
SE;Sudeste/Centro-Oeste;31-08-04 00:00:00;27.178,62867073
N;Norte;30-09-04 00:00:00;3.042,84194444
NE;Nordeste;30-09-04 00:00:00;6.442,20233333
S;Sul;30-09-04 00:00:00;7.229,75213870
SE;Sudeste/Centro-Oeste;30-09-04 00:00:00;28.426,38831408
N;Norte;31-10-04 00:00:00;3.033,28682796
NE;Nordeste;31-10-04 00:00:00;6.598,93162634
S;Sul;31-10-04 00:00:00;7.058,34776842
SE;Sudeste/Centro-Oeste;31-10-04 00:00:00;27.771,49564556
N;Norte;30-11-04 00:00:00;3.022,34955556
NE;Nordeste;30-11-04 00:00:00;6.695,90154167
S;Sul;30-11-04 00:00:00;7.241,64043084
SE;Sudeste/Centro-Oeste;30-11-04 00:00:00;28.156,10778028
N;Norte;31-12-04 00:00:00;3.022,02110215
NE;Nordeste;31-12-04 00:00:00;6.734,77784946
S;Sul;31-12-04 00:00:00;7.451,36658613
SE;Sudeste/Centro-Oeste;31-12-04 00:00:00;27.695,44342731
N;Norte;31-01-05 00:00:00;2.982,24973118
NE;Nordeste;31-01-05 00:00:00;6.701,01983871
S;Sul;31-01-05 00:00:00;7.812,90592756
SE;Sudeste/Centro-Oeste;31-01-05 00:00:00;27.829,38264771
N;Norte;28-02-05 00:00:00;2.991,04523810
NE;Nordeste;28-02-05 00:00:00;6.666,21556548
S;Sul;28-02-05 00:00:00;8.037,17468726
SE;Sudeste/Centro-Oeste;28-02-05 00:00:00;28.324,55217286
N;Norte;31-03-05 00:00:00;3.041,24119624
NE;Nordeste;31-03-05 00:00:00;6.774,05286290
S;Sul;31-03-05 00:00:00;8.175,20657197
SE;Sudeste/Centro-Oeste;31-03-05 00:00:00;29.329,88920760
N;Norte;30-04-05 00:00:00;3.043,09543056
NE;Nordeste;30-04-05 00:00:00;6.731,55873611
S;Sul;30-04-05 00:00:00;7.701,98627789
SE;Sudeste/Centro-Oeste;30-04-05 00:00:00;29.611,05501377
N;Norte;31-05-05 00:00:00;3.112,12998656
NE;Nordeste;31-05-05 00:00:00;6.551,29286290
S;Sul;31-05-05 00:00:00;7.313,97517425
SE;Sudeste/Centro-Oeste;31-05-05 00:00:00;27.852,86724511
N;Norte;30-06-05 00:00:00;3.126,65827778
NE;Nordeste;30-06-05 00:00:00;6.391,42600000
S;Sul;30-06-05 00:00:00;7.396,14643060
SE;Sudeste/Centro-Oeste;30-06-05 00:00:00;27.921,09989718
N;Norte;31-07-05 00:00:00;3.026,74646505
NE;Nordeste;31-07-05 00:00:00;6.409,12744624
S;Sul;31-07-05 00:00:00;7.124,24268819
SE;Sudeste/Centro-Oeste;31-07-05 00:00:00;27.217,23512095
N;Norte;31-08-05 00:00:00;3.134,20670699
NE;Nordeste;31-08-05 00:00:00;6.571,48909946
S;Sul;31-08-05 00:00:00;7.288,74893676
SE;Sudeste/Centro-Oeste;31-08-05 00:00:00;28.499,19848932
N;Norte;30-09-05 00:00:00;3.169,67902778
NE;Nordeste;30-09-05 00:00:00;6.797,34518056
S;Sul;30-09-05 00:00:00;7.199,52711389
